model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Pyannote,0,281474977490102,0.9966329966329966,0.9966329966329966,0.9966329966329966,0.9951690821256038,0.9914529914529915,0.003367003367003367,0.003367003367003367
FunASR,0,281474977490102,0.8813056379821959,1.0,0.9369085173501577,0.9061032863849765,0.689922480620155,0.11869436201780416,0.0
Silero,0,281474977490102,0.9580645161290322,1.0,0.9785831960461285,0.9694835680751174,0.8992248062015504,0.041935483870967745,0.0
SpeechBrain,0,281474977490102,0.7272727272727273,0.9966329966329966,0.8409090909090909,0.7862595419847328,0.5110132158590308,0.2727272727272727,0.003367003367003367
Pyannote,1,281474977490104,0.9937238493723849,0.9978991596638656,0.9958071278825996,0.9932546374367622,0.9743589743589743,0.006276150627615063,0.0021008403361344537
FunASR,1,281474977490104,0.9083969465648855,1.0,0.952,0.9211822660098522,0.6390977443609023,0.0916030534351145,0.0
Silero,1,281474977490104,0.9753086419753086,0.9957983193277311,0.9854469854469855,0.9767441860465116,0.9047619047619048,0.024691358024691357,0.004201680672268907
SpeechBrain,1,281474977490104,0.9896049896049897,1.0,0.9947753396029259,0.9915824915824916,0.9576271186440678,0.010395010395010396,0.0
Pyannote,2,281474977511688,0.9798488664987406,0.9923469387755102,0.9860583016476553,0.9782178217821782,0.9292035398230089,0.020151133501259445,0.007653061224489796
FunASR,2,281474977511688,0.8615384615384616,1.0,0.9256198347107438,0.8797709923664122,0.5227272727272727,0.13846153846153847,0.0
Silero,2,281474977511688,0.9874055415617129,1.0,0.9936628643852978,0.99,0.9537037037037037,0.012594458438287154,0.0
SpeechBrain,2,281474977511688,1.0,0.9948979591836735,0.9974424552429667,0.9959758551307847,1.0,0.0,0.00510204081632653
Pyannote,3,281474977519672,0.7694974003466204,1.0,0.8697355533790402,0.7892234548335975,0.2887700534759358,0.23050259965337955,0.0
FunASR,3,281474977519672,0.7278688524590164,1.0,0.8425047438330171,0.7707182320441989,0.40714285714285714,0.2721311475409836,0.0
Silero,3,281474977519672,0.8757396449704142,1.0,0.9337539432176656,0.9015625,0.6785714285714286,0.1242603550295858,0.0
SpeechBrain,3,281474977519672,0.8350100603621731,0.9346846846846847,0.8820403825717322,0.8238095238095238,0.5591397849462365,0.16498993963782696,0.06531531531531531
Pyannote,4,281474977520023,0.8755656108597285,0.9084507042253521,0.8917050691244239,0.8287795992714025,0.5528455284552846,0.1244343891402715,0.09154929577464789
FunASR,4,281474977520023,0.8098859315589354,1.0,0.8949579831932774,0.8178506375227687,0.18699186991869918,0.19011406844106463,0.0
Silero,4,281474977520023,0.8387850467289719,0.8427230046948356,0.8407494145199064,0.734375,0.19767441860465115,0.16121495327102803,0.1572769953051643
SpeechBrain,4,281474977520023,0.9119804400977995,0.8755868544600939,0.8934131736526946,0.826171875,0.5813953488372093,0.08801955990220049,0.12441314553990611
Pyannote,5,281474977544630,0.7423510466988728,1.0,0.8521256931608133,0.744,0.024390243902439025,0.2576489533011272,0.0
FunASR,5,281474977544630,0.8443223443223443,1.0,0.9155908639523337,0.8631239935587761,0.46875,0.15567765567765568,0.0
Silero,5,281474977544630,0.987152034261242,1.0,0.9935344827586207,0.9894179894179894,0.9433962264150944,0.01284796573875803,0.0
SpeechBrain,5,281474977544630,0.815929203539823,1.0,0.898635477582846,0.8169014084507042,0.028037383177570093,0.184070796460177,0.0
Pyannote,6,281474977585189,0.8065433854907539,1.0,0.8929133858267716,0.8076379066478077,0.02857142857142857,0.1934566145092461,0.0
FunASR,6,281474977585189,0.7875,1.0,0.8811188811188811,0.9088743299583085,0.862410071942446,0.2125,0.0
Silero,6,281474977585189,0.984375,1.0,0.9921259842519685,0.9873417721518988,0.9375,0.015625,0.0
SpeechBrain,6,281474977585189,1.0,0.9858906525573192,0.9928952042628775,0.9886524822695035,1.0,0.0,0.014109347442680775
Pyannote,7,281474977588440,0.8309859154929577,1.0,0.9076923076923077,0.8316633266533067,0.023255813953488372,0.16901408450704225,0.0
FunASR,7,281474977588440,0.8759278897136797,1.0,0.9338609383832673,0.8861867704280155,0.4207920792079208,0.12407211028632026,0.0
Silero,7,281474977588440,0.9729093050647821,1.0,0.986268656716418,0.9768145161290323,0.8614457831325302,0.027090694935217905,0.0
SpeechBrain,7,281474977588440,0.9903961584633854,0.9987893462469734,0.9945750452079566,0.9909365558912386,0.9520958083832335,0.009603841536614645,0.0012106537530266344
Pyannote,8,281474977594045,0.9221311475409836,0.9911894273127754,0.9554140127388535,0.948780487804878,0.8961748633879781,0.0778688524590164,0.00881057268722467
FunASR,8,281474977594045,0.6560693641618497,1.0,0.7923211169284468,0.7238979118329466,0.4166666666666667,0.3439306358381503,0.0
Silero,8,281474977594045,0.9739130434782609,0.986784140969163,0.9803063457330415,0.9773299748110831,0.9647058823529412,0.02608695652173913,0.013215859030837005
SpeechBrain,8,281474977594045,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Pyannote,9,281474977608892,0.8491674828599413,1.0,0.9184322033898306,0.8497560975609756,0.02531645569620253,0.15083251714005877,0.0
FunASR,9,281474977608892,0.8516699410609038,1.0,0.919893899204244,0.8518155053974484,0.006578947368421052,0.14833005893909626,0.0
Silero,9,281474977608892,0.8491674828599413,1.0,0.9184322033898306,0.8493150684931506,0.0064516129032258064,0.15083251714005877,0.0
SpeechBrain,9,281474977608892,0.9379157427937915,0.9757785467128027,0.9564725833804409,0.9221435793731041,0.5409836065573771,0.06208425720620843,0.02422145328719723
Pyannote,10,281474977646560,0.781563126252505,0.9898477157360406,0.8734602463605823,0.8180354267310789,0.5198237885462555,0.218436873747495,0.01015228426395939
FunASR,10,281474977646560,0.8024439918533605,1.0,0.8903954802259887,0.8173258003766478,0.291970802919708,0.1975560081466395,0.0
Silero,10,281474977646560,0.9896373056994818,0.9695431472081218,0.9794871794871794,0.969811320754717,0.9705882352941176,0.010362694300518135,0.030456852791878174
SpeechBrain,10,281474977646560,0.9547738693467337,0.9644670050761421,0.9595959595959596,0.939622641509434,0.8676470588235294,0.04522613065326633,0.03553299492385787
Pyannote,11,281474977648654,0.994750656167979,0.9869791666666666,0.9908496732026144,0.985655737704918,0.9807692307692307,0.005249343832020997,0.013020833333333334
FunASR,11,281474977648654,0.6894075403949731,1.0,0.8161530286928799,0.8460854092526691,0.7662162162162162,0.3105924596050269,0.0
Silero,11,281474977648654,0.9770992366412213,1.0,0.9884169884169884,0.9817444219066938,0.9174311926605505,0.022900763358778626,0.0
SpeechBrain,11,281474977648654,1.0,0.9921875,0.996078431372549,0.9938271604938271,1.0,0.0,0.0078125
Pyannote,12,281474977657137,1.0,0.988929889298893,0.9944341372912802,0.9962640099626401,1.0,0.0,0.01107011070110701
FunASR,12,281474977657137,0.8442367601246106,1.0,0.9155405405405406,0.9394673123486683,0.9099099099099099,0.1557632398753894,0.0
Silero,12,281474977657137,0.9748201438848921,1.0,0.9872495446265938,0.991358024691358,0.987012987012987,0.025179856115107913,0.0
SpeechBrain,12,281474977657137,1.0,0.974169741697417,0.9869158878504672,0.9912826899128269,1.0,0.0,0.025830258302583026
Pyannote,13,281474977658515,0.8643410852713178,1.0,0.9272349272349273,0.8942598187311178,0.6759259259259259,0.13565891472868216,0.0
FunASR,13,281474977658515,0.8109090909090909,1.0,0.8955823293172691,0.8414634146341463,0.5047619047619047,0.1890909090909091,0.0
Silero,13,281474977658515,0.8902439024390244,0.9820627802690582,0.9339019189765458,0.906060606060606,0.7476635514018691,0.10975609756097561,0.017937219730941704
SpeechBrain,13,281474977658515,0.7335526315789473,1.0,0.8462998102466793,0.75,0.19801980198019803,0.26644736842105265,0.0
Pyannote,14,281474977673370,0.9049034175334324,0.99185667752443,0.9463869463869464,0.9121019108280255,0.6257309941520468,0.0950965824665676,0.008143322475570033
FunASR,14,281474977673370,0.8709219858156029,1.0,0.931008339651251,0.8840764331210191,0.4678362573099415,0.12907801418439716,0.0
Silero,14,281474977673370,0.8365122615803815,1.0,0.9109792284866469,0.8475222363405337,0.3063583815028902,0.16348773841961853,0.0
SpeechBrain,14,281474977673370,0.9436619718309859,0.9820846905537459,0.9624900239425379,0.9379128137384413,0.7482517482517482,0.056338028169014086,0.017915309446254073
Pyannote,15,281474977678109,0.3793859649122807,0.9664804469273743,0.5448818897637795,0.7478184991273996,0.7073422957600828,0.6206140350877193,0.0335195530726257
FunASR,15,281474977678109,0.7782608695652173,1.0,0.8753056234718827,0.8277027027027027,0.5641025641025641,0.2217391304347826,0.0
Silero,15,281474977678109,0.8605769230769231,1.0,0.9250645994832042,0.894927536231884,0.7010309278350515,0.13942307692307693,0.0
SpeechBrain,15,281474977678109,0.3729166666666667,1.0,0.543247344461305,0.7407407407407407,0.6934826883910387,0.6270833333333333,0.0
Pyannote,16,281474977680938,0.9271137026239067,0.9845201238390093,0.954954954954955,0.9352051835853131,0.8214285714285714,0.0728862973760933,0.015479876160990712
FunASR,16,281474977680938,0.7291196388261851,1.0,0.8433420365535248,0.8404255319148937,0.7202797202797203,0.2708803611738149,0.0
Silero,16,281474977680938,0.9728915662650602,1.0,0.9862595419847329,0.9797752808988764,0.9262295081967213,0.02710843373493976,0.0
SpeechBrain,16,281474977680938,0.972809667673716,0.9969040247678018,0.9847094801223242,0.9776286353467561,0.9274193548387096,0.027190332326283987,0.0030959752321981426
Pyannote,17,281474977682649,0.7238307349665924,0.9938837920489296,0.8376288659793815,0.8981406628940987,0.8637362637362638,0.27616926503340755,0.0061162079510703364
FunASR,17,281474977682649,0.7604651162790698,1.0,0.8639365918097754,0.8123861566484517,0.536036036036036,0.23953488372093024,0.0
Silero,17,281474977682649,0.9819819819819819,1.0,0.990909090909091,0.9887850467289719,0.9711538461538461,0.018018018018018018,0.0
SpeechBrain,17,281474977682649,0.8324742268041238,0.9877675840978594,0.9034965034965035,0.9774951076320939,0.9762687112084703,0.16752577319587628,0.012232415902140673
Pyannote,18,281474977748055,0.7935222672064778,0.98989898989899,0.8808988764044944,0.8178694158075601,0.45161290322580644,0.20647773279352227,0.010101010101010102
FunASR,18,281474977748055,0.7457627118644068,1.0,0.8543689320388349,0.7668393782383419,0.26229508196721313,0.2542372881355932,0.0
Silero,18,281474977748055,0.8850574712643678,0.9722222222222222,0.9265944645006017,0.893542757417103,0.7175141242937854,0.11494252873563218,0.027777777777777776
SpeechBrain,18,281474977748055,0.9325301204819277,0.9772727272727273,0.9543773119605425,0.9347442680776014,0.8362573099415205,0.06746987951807229,0.022727272727272728
Pyannote,19,281474977862560,0.8537477148080439,1.0,0.9211045364891519,0.9012345679012346,0.7667638483965015,0.14625228519195613,0.0
FunASR,19,281474977862560,0.8236331569664903,1.0,0.9032882011605415,0.8657718120805369,0.6402877697841727,0.1763668430335097,0.0
Silero,19,281474977862560,0.9873150105708245,1.0,0.9936170212765958,0.9918478260869565,0.9776951672862454,0.012684989429175475,0.0
SpeechBrain,19,281474977862560,1.0,0.9892933618843683,0.9946178686759957,0.9931506849315068,1.0,0.0,0.010706638115631691
Pyannote,20,281474977903187,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.8732394366197183,0.0625,0.10869565217391304,0.023809523809523808
FunASR,20,281474977903187,0.84,1.0,0.9130434782608695,0.8410596026490066,0.04,0.16,0.0
Silero,20,281474977903187,0.9921259842519685,1.0,0.9960474308300395,0.9921875,0.5,0.007874015748031496,0.0
SpeechBrain,20,281474977903187,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Pyannote,21,281474977944491,0.9893617021276596,0.9946524064171123,0.992,0.9849246231155779,0.8333333333333334,0.010638297872340425,0.0053475935828877
FunASR,21,281474977944491,0.9012048192771084,1.0,0.9480354879594424,0.9014423076923077,0.023809523809523808,0.09879518072289156,0.0
Silero,21,281474977944491,0.9396984924623115,1.0,0.9689119170984456,0.9425837320574163,0.45454545454545453,0.06030150753768844,0.0
SpeechBrain,21,281474977944491,0.9946524064171123,0.9946524064171123,0.9946524064171123,0.98989898989899,0.9090909090909091,0.0053475935828877,0.0053475935828877
Pyannote,22,281474978096178,1.0,0.9759036144578314,0.9878048780487805,0.984,1.0,0.0,0.024096385542168676
FunASR,22,281474978096178,0.7685185185185185,1.0,0.8691099476439791,0.8175182481751825,0.5370370370370371,0.23148148148148148,0.0
Silero,22,281474978096178,0.9822485207100592,1.0,0.991044776119403,0.9881422924901185,0.9655172413793104,0.01775147928994083,0.0
SpeechBrain,22,281474978096178,0.9939393939393939,0.9879518072289156,0.9909365558912386,0.9880478087649402,0.9882352941176471,0.006060606060606061,0.012048192771084338
Pyannote,23,281474978100266,0.9571428571428572,0.9877149877149877,0.9721886336154776,0.9577981651376147,0.8695652173913043,0.04285714285714286,0.012285012285012284
FunASR,23,281474978100266,0.9024390243902439,1.0,0.9487179487179487,0.9191176470588235,0.6788321167883211,0.0975609756097561,0.0
Silero,23,281474978100266,0.9733009708737864,0.9852579852579852,0.9792429792429792,0.9684014869888475,0.916030534351145,0.02669902912621359,0.014742014742014743
SpeechBrain,23,281474978100266,1.0,0.9926289926289926,0.9963008631319359,0.9943074003795066,1.0,0.0,0.007371007371007371
Pyannote,24,281474978104412,0.8721649484536083,0.9548532731376975,0.9116379310344828,0.8724727838258165,0.69,0.12783505154639174,0.045146726862302484
FunASR,24,281474978104412,0.7744755244755245,1.0,0.8729064039408867,0.8033536585365854,0.39436619718309857,0.22552447552447552,0.0
Silero,24,281474978104412,0.9817767653758542,0.9729119638826185,0.9773242630385488,0.9676375404530745,0.9542857142857143,0.018223234624145785,0.02708803611738149
SpeechBrain,24,281474978104412,1.0,0.9187358916478555,0.9576470588235294,0.9411764705882353,1.0,0.0,0.08126410835214447
