model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Pyannote,0,281474977490102,0.9929292929292929,0.9972945552925262,0.9951071368314492,0.9929816069699903,0.9821276595744681,0.007070707070707071,0.002705444707473791
FunASR,0,281474977490102,0.8748520710059171,1.0,0.9332491715322708,0.9007275287491199,0.6756134969325154,0.12514792899408284,0.0
Silero,0,281474977490102,0.9538560826072927,0.9996618194115657,0.9762219286657859,0.9661495063469676,0.889745566692367,0.046143917392707325,0.00033818058843422386
SpeechBrain,0,281474977490102,0.7241379310344828,0.9942509299966182,0.837964942283027,0.7826419422672529,0.5074758135444152,0.27586206896551724,0.0057490700033818055
ASRmodel,0,281474977490102,0.5791919191919191,0.9695637470409199,0.7251802200581763,0.6342366604948662,0.3019436997319035,0.4208080808080808,0.03043625295908015
Pyannote,1,281474977490104,1.0,0.9898445595854922,0.9948963649619831,0.9917243708832968,1.0,0.0,0.010155440414507772
FunASR,1,281474977490104,0.9208015267175572,1.0,0.9587680079483358,0.9317546456174971,0.6695859872611465,0.07919847328244274,0.0
Silero,1,281474977490104,0.9806584362139917,0.9877720207253886,0.9842023748064016,0.9745635910224439,0.9210084033613445,0.01934156378600823,0.0122279792746114
SpeechBrain,1,281474977490104,0.9979171006040408,0.9929533678756477,0.9954290463328486,0.992581352217164,0.9909584086799277,0.002082899395959175,0.007046632124352332
ASRmodel,1,281474977490104,0.13157894736842105,0.015544041450777202,0.027803521779425393,0.11416990373247762,0.5483576642335767,0.868421052631579,0.9844559585492227
Pyannote,2,281474977511688,0.9773013871374527,0.984002031488065,0.9806402631911932,0.9696609161213563,0.918552036199095,0.02269861286254729,0.015997968511934992
FunASR,2,281474977511688,0.8654945054945055,1.0,0.9278982092365693,0.883005161536991,0.5266821345707656,0.1345054945054945,0.0
Silero,2,281474977511688,0.9904137235116044,0.9969527679024885,0.9936724879777271,0.9899819675415749,0.9639126305792972,0.00958627648839556,0.0030472320975114273
SpeechBrain,2,281474977511688,1.0,0.9903504316912138,0.9951518244450115,0.9923278820916617,1.0,0.0,0.009649568308786187
ASRmodel,2,281474977511688,0.595852534562212,0.9850177755205688,0.7425344563552833,0.6511477110621191,0.30267691492181287,0.404147465437788,0.014982224479431183
Pyannote,3,281474977519672,0.8021140183677006,0.9927085567231396,0.887291546866015,0.8145987702979662,0.3202380952380952,0.19788598163229942,0.00729144327686039
FunASR,3,281474977519672,0.7633000491078736,1.0,0.8657630894912737,0.8000276586917439,0.4369158878504673,0.23669995089212637,0.0
Silero,3,281474977519672,0.9076044129235619,0.9879905640145829,0.9460930280316254,0.9179559306141585,0.7298387096774194,0.09239558707643813,0.012009435985417113
SpeechBrain,3,281474977519672,0.8410969953619681,0.8944885266995496,0.8669715235917689,0.7982027431814599,0.530952380952381,0.15890300463803186,0.10551147330045035
ASRmodel,3,281474977519672,0.17235772357723578,0.045464293373364786,0.0719497709146445,0.13778968942140943,0.39404761904761904,0.8276422764227642,0.9545357066266352
Pyannote,4,281474977520023,0.8502939846223428,0.8950249940490359,0.872086280876725,0.798796059832178,0.48321623731459795,0.14970601537765718,0.10497500595096405
FunASR,4,281474977520023,0.7986692015209126,1.0,0.8880668005496247,0.8067870826491517,0.17265625,0.20133079847908744,0.0
Silero,4,281474977520023,0.8155929038281979,0.8317067364913115,0.8235710076605774,0.7095459837019791,0.17103882476390347,0.18440709617180207,0.1682932635086884
SpeechBrain,4,281474977520023,0.8833333333333333,0.8578909783384908,0.8704262770196836,0.7918121847109042,0.5005246589716684,0.11666666666666667,0.14210902166150916
ASRmodel,4,281474977520023,0.8413333333333334,0.60080933111164,0.701013748090543,0.5822662010089251,0.5005246589716684,0.15866666666666668,0.3991906688883599
Pyannote,5,281474977544630,0.7541062801932367,1.0,0.8598182318920408,0.7553276718474603,0.01989730423620026,0.24589371980676328,0.0
FunASR,5,281474977544630,0.8576923076923076,1.0,0.9233954451345756,0.8746976294146106,0.4881422924901186,0.1423076923076923,0.0
Silero,5,281474977544630,0.9980719794344473,0.9948750800768738,0.9964709656721207,0.9941972920696325,0.9910358565737052,0.0019280205655526992,0.005124919923126201
SpeechBrain,5,281474977544630,0.8260176991150443,0.9965833867179159,0.9033194619181264,0.8243362053806929,0.02091633466135458,0.17398230088495575,0.003416613282084134
