model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Pyannote,0,281474977490102,0.98989898989899,0.9966101694915255,0.9932432432432432,0.9903381642512077,0.9747899159663865,0.010101010101010102,0.003389830508474576
FunASR,0,281474977490102,0.8753709198813057,1.0,0.9335443037974683,0.9014084507042254,0.6793893129770993,0.12462908011869436,0.0
Silero,0,281474977490102,0.9516129032258065,1.0,0.9752066115702479,0.9647887323943662,0.8854961832061069,0.04838709677419355,0.0
SpeechBrain,0,281474977490102,0.7223587223587223,0.9966101694915255,0.8376068376068376,0.7824427480916031,0.5065502183406113,0.27764127764127766,0.003389830508474576
Pyannote,1,281474977490104,1.0,0.989648033126294,0.9947970863683663,0.9915682967959528,1.0,0.0,0.010351966873706004
FunASR,1,281474977490104,0.9217557251908397,1.0,0.9592850049652433,0.9326765188834154,0.6746031746031746,0.07824427480916031,0.0
Silero,1,281474977490104,0.9814814814814815,0.9875776397515528,0.9845201238390093,0.9750830564784053,0.9243697478991597,0.018518518518518517,0.012422360248447204
SpeechBrain,1,281474977490104,0.997920997920998,0.9937888198757764,0.995850622406639,0.9932659932659933,0.990990990990991,0.002079002079002079,0.006211180124223602
Pyannote,2,281474977511688,0.9773299748110831,0.9847715736040609,0.9810366624525917,0.9702970297029703,0.918918918918919,0.022670025188916875,0.015228426395939087
FunASR,2,281474977511688,0.865934065934066,1.0,0.928150765606596,0.8835877862595419,0.5307692307692308,0.13406593406593406,0.0
Silero,2,281474977511688,0.9899244332493703,0.9974619289340102,0.9936788874841972,0.99,0.9622641509433962,0.010075566750629723,0.0025380710659898475
SpeechBrain,2,281474977511688,1.0,0.9898477157360406,0.9948979591836735,0.9919354838709677,1.0,0.0,0.01015228426395939
Pyannote,3,281474977519672,0.8024263431542461,0.9914346895074947,0.8869731800766284,0.8141732283464567,0.32142857142857145,0.1975736568457539,0.008565310492505354
FunASR,3,281474977519672,0.7655737704918033,1.0,0.8672237697307336,0.8024861878453039,0.44357976653696496,0.23442622950819672,0.0
Silero,3,281474977519672,0.9072978303747534,0.9850107066381156,0.944558521560575,0.915625,0.7283236994219653,0.09270216962524655,0.014989293361884369
SpeechBrain,3,281474977519672,0.8410462776659959,0.8950749464668094,0.8672199170124482,0.7984251968503937,0.5297619047619048,0.158953722334004,0.10492505353319058
Pyannote,4,281474977520023,0.8506787330316742,0.8931116389548693,0.8713789107763615,0.7978142076502732,0.484375,0.1493212669683258,0.10688836104513064
FunASR,4,281474977520023,0.8003802281368821,1.0,0.8891235480464625,0.8087431693989071,0.1796875,0.19961977186311788,0.0
Silero,4,281474977520023,0.8177570093457944,0.831353919239905,0.8244994110718492,0.7112403100775194,0.17894736842105263,0.1822429906542056,0.16864608076009502
SpeechBrain,4,281474977520023,0.8850855745721271,0.8598574821852731,0.8722891566265061,0.7945736434108527,0.5052631578947369,0.11491442542787286,0.14014251781472684
Pyannote,5,281474977544630,0.7536231884057971,1.0,0.859504132231405,0.7552,0.025477707006369428,0.2463768115942029,0.0
FunASR,5,281474977544630,0.8571428571428571,1.0,0.9230769230769231,0.8743961352657005,0.49019607843137253,0.14285714285714285,0.0
Silero,5,281474977544630,0.9978586723768736,0.9957264957264957,0.9967914438502674,0.9947275922671354,0.9900990099009901,0.0021413276231263384,0.004273504273504274
SpeechBrain,5,281474977544630,0.8265486725663717,0.9978632478632479,0.904162633107454,0.8260105448154658,0.0297029702970297,0.17345132743362832,0.002136752136752137
Pyannote,6,281474977585189,0.8207681365576103,0.9914089347079038,0.8980544747081712,0.8160112359550562,0.03076923076923077,0.17923186344238975,0.00859106529209622
FunASR,6,281474977585189,0.8083333333333333,1.0,0.8940092165898618,0.9178082191780822,0.8742023701002735,0.19166666666666668,0.0
Silero,6,281474977585189,1.0,0.9896907216494846,0.9948186528497409,0.9915730337078652,1.0,0.0,0.010309278350515464
SpeechBrain,6,281474977585189,1.0,0.9604810996563574,0.9798422436459246,0.9676966292134831,1.0,0.0,0.03951890034364261
Pyannote,7,281474977588440,0.8651911468812877,0.9851088201603666,0.9212640599892876,0.8545994065281899,0.028985507246376812,0.13480885311871227,0.014891179839633447
FunASR,7,281474977588440,0.9257688229056203,1.0,0.961453744493392,0.9319066147859922,0.5483870967741935,0.07423117709437964,0.0
Silero,7,281474977588440,0.9964664310954063,0.9690721649484536,0.9825783972125436,0.9703264094955489,0.9782608695652174,0.0035335689045936395,0.030927835051546393
SpeechBrain,7,281474977588440,1.0,0.9541809851088202,0.9765533411488863,0.960435212660732,1.0,0.0,0.045819014891179836
Pyannote,8,281474977594045,0.9549180327868853,0.9708333333333333,0.9628099173553719,0.9560975609756097,0.9352941176470588,0.045081967213114756,0.029166666666666667
FunASR,8,281474977594045,0.6936416184971098,1.0,0.8191126279863481,0.7540603248259861,0.44502617801047123,0.3063583815028902,0.0
Silero,8,281474977594045,1.0,0.9583333333333334,0.9787234042553191,0.974937343358396,1.0,0.0,0.041666666666666664
