model,file index,audio file,FEC,MSC,OVER,NDS
Silero,0,281474977490102,0,1,126,0
SpeechBrain,0,281474977490102,0,17,1103,0
ASRmodel,0,281474977490102,253,0,1813,0
Silero,1,281474977490104,0,15,115,0
SpeechBrain,1,281474977490104,10,0,31,0
ASRmodel,1,281474977490104,539,0,0,4729
Silero,2,281474977511688,18,0,29,0
SpeechBrain,2,281474977511688,0,6,0,11
ASRmodel,2,281474977511688,324,0,2749,0
Silero,3,281474977519672,808,0,99,0
SpeechBrain,3,281474977519672,808,0,0,19
ASRmodel,3,281474977519672,1068,0,0,5009
Silero,4,281474977520023,332,0,0,665
SpeechBrain,4,281474977520023,0,86,0,451
ASRmodel,4,281474977520023,0,706,0,491
Silero,5,281474977544630,9,0,50,0
SpeechBrain,5,281474977544630,983,0,58,0
ASRmodel,5,281474977544630,703,0,0,4892
Silero,6,281474977585189,26,0,61,0
SpeechBrain,6,281474977585189,0,7,0,71
ASRmodel,6,281474977585189,772,0,0,5902
Silero,7,281474977594045,0,32,58,0
SpeechBrain,7,281474977594045,5,0,0,8
ASRmodel,7,281474977594045,1154,0,1191,0
Silero,8,281474977646560,0,8,0,108
SpeechBrain,8,281474977646560,0,32,0,100
ASRmodel,8,281474977646560,248,0,0,40
Silero,9,281474977648654,20,0,72,0
SpeechBrain,9,281474977648654,0,16,0,5
ASRmodel,9,281474977648654,594,0,3126,0
Silero,10,281474977657137,0,0,73,0
SpeechBrain,10,281474977657137,0,26,0,40
ASRmodel,10,281474977657137,4954,0,0,5110
Silero,11,281474977658515,0,38,267,0
SpeechBrain,11,281474977658515,606,0,207,0
ASRmodel,11,281474977658515,16,0,0,653
Silero,12,281474977673370,743,0,293,0
SpeechBrain,12,281474977673370,0,55,0,57
ASRmodel,12,281474977673370,705,0,0,4897
Silero,13,281474977678109,259,0,26,0
SpeechBrain,13,281474977678109,223,0,8876,0
ASRmodel,13,281474977678109,0,206,4686,0
Silero,14,281474977680938,22,0,72,0
SpeechBrain,14,281474977680938,0,16,86,0
ASRmodel,14,281474977680938,784,0,0,1345
Silero,15,281474977682649,2,0,61,0
SpeechBrain,15,281474977682649,0,21,25369,0
ASRmodel,15,281474977682649,789,0,0,3090
Silero,16,281474977748055,0,116,169,0
SpeechBrain,16,281474977748055,0,48,103,0
ASRmodel,16,281474977748055,0,138,0,3097
Silero,17,281474977862560,0,0,65,0
SpeechBrain,17,281474977862560,0,34,0,12
ASRmodel,17,281474977862560,1336,0,0,5672
Silero,18,281474977903187,0,0,18,0
SpeechBrain,18,281474977903187,0,0,0,0
ASRmodel,18,281474977903187,0,1139,540,0
Silero,19,281474977944491,0,4,231,0
SpeechBrain,19,281474977944491,0,20,11,0
ASRmodel,19,281474977944491,0,290,0,549
Silero,20,281474978096178,4,0,35,0
SpeechBrain,20,281474978096178,0,12,10,0
ASRmodel,20,281474978096178,0,122,0,750
Silero,21,281474978100266,0,53,112,0
SpeechBrain,21,281474978100266,0,13,0,12
ASRmodel,21,281474978100266,897,0,0,2292
Silero,22,281474978104412,0,10,62,0
SpeechBrain,22,281474978104412,0,50,0,13
ASRmodel,22,281474978104412,520,0,0,5543
Silero,23,281474978119084,5,0,90,0
SpeechBrain,23,281474978119084,0,15,36,0
ASRmodel,23,281474978119084,566,0,0,884
Silero,24,281474978129899,19,0,1320,0
SpeechBrain,24,281474978129899,0,27,3202,0
ASRmodel,24,281474978129899,0,377,2322,0
Silero,25,281474978155591,0,720,113,0
SpeechBrain,25,281474978155591,200,0,31,0
ASRmodel,25,281474978155591,0,650,0,1199
Silero,26,281474978155610,234,0,0,723
SpeechBrain,26,281474978155610,220,0,0,613
ASRmodel,26,281474978155610,0,109,3307,0
Silero,27,281474978176065,0,29,0,650
SpeechBrain,27,281474978176065,0,49,68,0
ASRmodel,27,281474978176065,82,0,0,852
Silero,28,281474978272723,593,0,311,0
SpeechBrain,28,281474978272723,795,0,271,0
ASRmodel,28,281474978272723,435,0,0,2189
Silero,29,281474978284655,14,0,384,0
SpeechBrain,29,281474978284655,426,0,345,0
ASRmodel,29,281474978284655,0,134,1305,0
Silero,30,281474978285072,117,0,349,0
SpeechBrain,30,281474978285072,0,49,20,0
ASRmodel,30,281474978285072,0,39,720,0
Silero,31,281474978296401,114,0,361,0
SpeechBrain,31,281474978296401,0,48,0,19
ASRmodel,31,281474978296401,0,1868,2511,0
Silero,32,281474978311264,27,0,35,0
SpeechBrain,32,281474978311264,0,13,65,0
ASRmodel,32,281474978311264,247,0,1174,0
Silero,33,281474978326366,27,0,78,0
SpeechBrain,33,281474978326366,0,7,204,0
ASRmodel,33,281474978326366,243,0,414,0
Silero,34,281474978364078,31,0,96,0
SpeechBrain,34,281474978364078,0,5,61,0
ASRmodel,34,281474978364078,125,0,2322,0
Silero,35,281474978391051,22,0,236,0
SpeechBrain,35,281474978391051,440,0,8,0
ASRmodel,35,281474978391051,380,0,0,442
Silero,36,281474978391058,6,0,255,0
SpeechBrain,36,281474978391058,406,0,165,0
ASRmodel,36,281474978391058,0,113,0,826
Silero,37,281474978391062,0,44,273,0
SpeechBrain,37,281474978391062,276,0,3,0
ASRmodel,37,281474978391062,0,4444,5513,0
Silero,38,281474978489324,0,4,337,0
SpeechBrain,38,281474978489324,0,36,296,0
ASRmodel,38,281474978489324,0,36,0,5214
Silero,39,281474978501462,15,0,149,0
SpeechBrain,39,281474978501462,0,9,0,17
ASRmodel,39,281474978501462,751,0,0,3517
Silero,40,281474978597492,6,0,93,0
SpeechBrain,40,281474978597492,0,13,0,7
ASRmodel,40,281474978597492,0,594,1723,0
Silero,41,281474978694071,0,17,110,0
SpeechBrain,41,281474978694071,1137,0,4,0
ASRmodel,41,281474978694071,327,0,0,5786
Silero,42,281474978957551,13,0,73,0
SpeechBrain,42,281474978957551,0,25,33,0
ASRmodel,42,281474978957551,0,65,602,0
Silero,43,281474979153327,154,0,70,0
SpeechBrain,43,281474979153327,140,0,349,0
ASRmodel,43,281474979153327,730,0,0,2601
Silero,44,281474979391394,10,0,13,0
SpeechBrain,44,281474979391394,0,38,0,57
ASRmodel,44,281474979391394,0,498,473,0
Silero,45,281474979393649,0,22,138,0
SpeechBrain,45,281474979393649,2,0,86,0
ASRmodel,45,281474979393649,0,518,2646,0
Silero,46,281474979394255,0,2,100,0
SpeechBrain,46,281474979394255,0,2,280,0
ASRmodel,46,281474979394255,0,142,660,0
Silero,47,281474979551557,17,0,189,0
SpeechBrain,47,281474979551557,0,39,139,0
ASRmodel,47,281474979551557,571,0,0,2191
Silero,48,281474979554146,10,0,309,0
SpeechBrain,48,281474979554146,398,0,269,0
ASRmodel,48,281474979554146,278,0,0,3701
Silero,49,281474979565787,17,0,102,0
SpeechBrain,49,281474979565787,563,0,0,88
ASRmodel,49,281474979565787,0,67,862,0
Silero,50,281474979567249,0,30,180,0
SpeechBrain,50,281474979567249,0,604,140,0
ASRmodel,50,281474979567249,896,0,0,3069
Silero,51,281474979746087,0,17,181,0
SpeechBrain,51,281474979746087,0,19,0,33
ASRmodel,51,281474979746087,0,669,0,1213
Silero,52,281474979755779,20,0,112,0
SpeechBrain,52,281474979755779,632,0,452,0
ASRmodel,52,281474979755779,1612,0,512,0
Silero,53,281474979757662,0,100,138,0
SpeechBrain,53,281474979757662,278,0,0,42
ASRmodel,53,281474979757662,0,1002,0,3752
Silero,54,281474979903891,0,117,0,18
SpeechBrain,54,281474979903891,0,145,0,37
ASRmodel,54,281474979903891,1265,0,0,3137
Silero,55,281474979910755,14,0,136,0
SpeechBrain,55,281474979910755,0,12,0,18
ASRmodel,55,281474979910755,1178,0,1142,0
Silero,56,281474979959938,34,0,203,0
SpeechBrain,56,281474979959938,136,0,0,247
ASRmodel,56,281474979959938,0,294,3303,0
Silero,57,281474979960752,7,0,204,0
SpeechBrain,57,281474979960752,927,0,0,16
ASRmodel,57,281474979960752,528,0,64,0
Silero,58,281474979960755,769,0,956,0
SpeechBrain,58,281474979960755,783,0,0,14
ASRmodel,58,281474979960755,413,0,0,464
Silero,59,281474980055383,27,0,33,0
SpeechBrain,59,281474980055383,1261,0,9,0
ASRmodel,59,281474980055383,711,0,0,1891
Silero,60,281474980060646,1045,0,79,0
SpeechBrain,60,281474980060646,0,23,0,8
ASRmodel,60,281474980060646,0,723,0,1248
Silero,61,281474980263350,0,42,82,0
SpeechBrain,61,281474980263350,131,0,0,30
ASRmodel,61,281474980263350,450,0,6660,0
Silero,62,281474980270830,0,38,75,0
SpeechBrain,62,281474980270830,0,78,0,51
ASRmodel,62,281474980270830,372,0,0,1721
Silero,63,281474980285786,0,43,72,0
SpeechBrain,63,281474980285786,0,7,78,0
ASRmodel,63,281474980285786,333,0,0,153
Silero,64,281474980293280,2,0,79,0
SpeechBrain,64,281474980293280,0,15,68,0
ASRmodel,64,281474980293280,555,0,0,3673
Silero,65,281474980293309,0,94,80,0
SpeechBrain,65,281474980293309,0,0,74,0
ASRmodel,65,281474980293309,0,80,0,1076
Silero,66,281474980294565,164,0,183,0
SpeechBrain,66,281474980294565,330,0,143,0
ASRmodel,66,281474980294565,30,0,2173,0
Silero,67,281474980724207,1567,0,234,0
SpeechBrain,67,281474980724207,191,0,358,0
ASRmodel,67,281474980724207,681,0,0,702
Silero,68,281474980729400,0,54,0,0
SpeechBrain,68,281474980729400,574,0,0,159
ASRmodel,68,281474980729400,0,1086,0,2489
Silero,69,281474980903269,0,4,410,0
SpeechBrain,69,281474980903269,16,0,380,0
ASRmodel,69,281474980903269,0,354,0,20
Silero,70,281474980903278,0,14,238,0
SpeechBrain,70,281474980903278,428,0,197,0
ASRmodel,70,281474980903278,59,0,0,7572
Silero,71,281474980904501,26,0,124,0
SpeechBrain,71,281474980904501,286,0,84,0
ASRmodel,71,281474980904501,0,44,0,3196
Silero,72,281474980906202,4,0,46,0
SpeechBrain,72,281474980906202,0,20,0,2
ASRmodel,72,281474980906202,0,330,0,1202
Silero,73,281474980907578,0,174,139,0
SpeechBrain,73,281474980907578,0,18,89,0
ASRmodel,73,281474980907578,0,968,0,7151
Silero,74,281474981073521,0,357,454,0
SpeechBrain,74,281474981073521,1245,0,414,0
ASRmodel,74,281474981073521,0,45,2664,0
Silero,75,281474981073695,15,0,107,0
SpeechBrain,75,281474981073695,619,0,0,359
ASRmodel,75,281474981073695,120,0,0,2270
Silero,76,281474981073733,0,169,483,0
SpeechBrain,76,281474981073733,933,0,444,0
ASRmodel,76,281474981073733,713,0,0,446
Silero,77,281474981073805,0,460,294,0
SpeechBrain,77,281474981073805,772,0,82,0
ASRmodel,77,281474981073805,192,0,0,3438
Silero,78,281474981073811,549,0,712,0
SpeechBrain,78,281474981073811,591,0,32,0
ASRmodel,78,281474981073811,201,0,4732,0
Silero,79,281474981075344,2,0,302,0
SpeechBrain,79,281474981075344,0,48,0,2
ASRmodel,79,281474981075344,182,0,0,5462
Silero,80,281474981176854,100,0,109,0
SpeechBrain,80,281474981176854,0,60,0,112
ASRmodel,80,281474981176854,0,270,448,0
Silero,81,281474981177984,0,458,42,0
SpeechBrain,81,281474981177984,782,0,8,0
ASRmodel,81,281474981177984,0,558,0,6683
Silero,82,281474981275143,0,61,112,0
SpeechBrain,82,281474981275143,159,0,0,18
ASRmodel,82,281474981275143,0,361,612,0
Silero,83,281474981275456,0,36,32,0
SpeechBrain,83,281474981275456,0,38,0,26
ASRmodel,83,281474981275456,592,0,0,1996
Silero,84,281474981278880,1156,0,68,0
SpeechBrain,84,281474981278880,0,36,0,44
ASRmodel,84,281474981278880,944,0,0,5544
Silero,85,281474981282881,1412,0,65,0
SpeechBrain,85,281474981282881,2,0,12,0
ASRmodel,85,281474981282881,992,0,0,5038
Silero,86,281474981370673,0,0,76,0
SpeechBrain,86,281474981370673,0,14,161,0
ASRmodel,86,281474981370673,766,0,0,1159
Silero,87,281474981377871,0,140,38,0
SpeechBrain,87,281474981377871,886,0,53,0
ASRmodel,87,281474981377871,0,2714,6632,0
Silero,88,281474981388708,0,13,265,0
SpeechBrain,88,281474981388708,939,0,107,0
ASRmodel,88,281474981388708,589,0,0,2944
Silero,89,281474981524203,0,47,51,0
SpeechBrain,89,281474981524203,361,0,0,17
ASRmodel,89,281474981524203,0,379,0,5288
Silero,90,281474981541259,0,114,0,63
SpeechBrain,90,281474981541259,0,102,0,167
ASRmodel,90,281474981541259,3478,0,0,8857
Silero,91,281474981690045,0,14,300,0
SpeechBrain,91,281474981690045,0,98,0,22
ASRmodel,91,281474981690045,32,0,0,752
Silero,92,281474981690648,24,0,82,0
SpeechBrain,92,281474981690648,0,22,10,0
ASRmodel,92,281474981690648,0,702,0,2070
Silero,93,281474981691440,35,0,273,0
SpeechBrain,93,281474981691440,395,0,63,0
ASRmodel,93,281474981691440,0,625,0,827
Silero,94,281474981693204,41,0,236,0
SpeechBrain,94,281474981693204,699,0,0,174
ASRmodel,94,281474981693204,359,0,0,904
Silero,95,281474981693235,4,0,282,0
SpeechBrain,95,281474981693235,0,92,604,0
ASRmodel,95,281474981693235,928,0,0,10526
Silero,96,281474981693638,0,13,278,0
SpeechBrain,96,281474981693638,355,0,0,32
ASRmodel,96,281474981693638,405,0,0,1202
Silero,97,281474981696077,0,4,112,0
SpeechBrain,97,281474981696077,0,23,0,4
ASRmodel,97,281474981696077,0,213,0,925
Silero,98,281474981696318,0,75,9,0
SpeechBrain,98,281474981696318,0,111,0,177
ASRmodel,98,281474981696318,2179,0,0,1887
Silero,99,281474981808810,31,0,40,0
SpeechBrain,99,281474981808810,0,52,0,54
ASRmodel,99,281474981808810,2048,0,0,4564
Silero,100,281474981817360,1088,0,96,0
SpeechBrain,100,281474981817360,328,0,4,0
ASRmodel,100,281474981817360,428,0,5514,0
Silero,101,281474981819770,25,0,244,0
SpeechBrain,101,281474981819770,19,0,265,0
ASRmodel,101,281474981819770,1028,0,0,4585
Silero,102,281474981828677,1267,0,428,0
SpeechBrain,102,281474981828677,0,66,377,0
ASRmodel,102,281474981828677,913,0,0,2032
Silero,103,281474981947948,0,11,177,0
SpeechBrain,103,281474981947948,0,62,0,59
ASRmodel,103,281474981947948,198,0,0,3539
Silero,104,281474981948002,0,145,172,0
SpeechBrain,104,281474981948002,0,601,0,8
ASRmodel,104,281474981948002,0,261,0,498
Silero,105,281474981953576,33,0,179,0
SpeechBrain,105,281474981953576,0,9,321,0
ASRmodel,105,281474981953576,281,0,0,1749
Silero,106,281474981960714,0,60,78,0
