model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Pyannote,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.9880239520958084,1.0,0.9939759036144579,0.9881656804733728,0.5,0.011976047904191617,0.0
FunASR,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.9820359281437125,0.9939393939393939,0.9879518072289156,0.9762611275964391,0.14285714285714285,0.017964071856287425,0.006060606060606061
Silero,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.9909638554216867,0.996969696969697,0.9939577039274925,0.9881305637982196,0.5714285714285714,0.009036144578313253,0.0030303030303030303
SpeechBrain,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.9748743718592965,0.5878787878787879,0.7334593572778828,0.5816023738872403,0.2857142857142857,0.02512562814070352,0.4121212121212121
ASRmodel,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.32514177693761814,0.5212121212121212,0.40046565774155995,0.46852425180598556,0.4413145539906103,0.6748582230623819,0.47878787878787876
Pyannote,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.7868852459016393,1.0,0.8807339449541285,0.7888631090487239,0.042105263157894736,0.21311475409836064,0.0
FunASR,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.865979381443299,1.0,0.9281767955801105,0.8779342723004695,0.4222222222222222,0.13402061855670103,0.0
Silero,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.9571428571428572,0.9970238095238095,0.9766763848396501,0.9626168224299065,0.8369565217391305,0.04285714285714286,0.002976190476190476
SpeechBrain,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.9911242603550295,0.9970238095238095,0.9940652818991098,0.9905660377358491,0.9659090909090909,0.008875739644970414,0.002976190476190476
ASRmodel,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.3621621621621622,0.5982142857142857,0.4511784511784512,0.4405034324942792,0.3420074349442379,0.6378378378378379,0.4017857142857143
Pyannote,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.7062043795620438,1.0,0.827807486631016,0.7083333333333334,0.024242424242424242,0.2937956204379562,0.0
FunASR,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.7049180327868853,1.0,0.8269230769230769,0.7054545454545454,0.006134969325153374,0.29508196721311475,0.0
Silero,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.7023593466424682,1.0,0.8251599147121536,0.7028985507246377,0.006060606060606061,0.29764065335753176,0.0
SpeechBrain,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.6884615384615385,0.9250645994832042,0.7894156560088202,0.6527272727272727,0.006134969325153374,0.31153846153846154,0.07493540051679587
ASRmodel,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.7254901960784313,0.2868217054263566,0.4111111111111111,0.4218181818181818,0.7423312883435583,0.27450980392156865,0.7131782945736435
Pyannote,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.9127272727272727,1.0,0.9543726235741445,0.9131483715319663,0.05263157894736842,0.08727272727272728,0.0
FunASR,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.912621359223301,0.99867197875166,0.953709575142676,0.9116222760290557,0.0136986301369863,0.08737864077669903,0.0013280212483399733
Silero,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.9116222760290557,1.0,0.9537682077264091,0.9117291414752116,0.013513513513513514,0.08837772397094432,0.0
SpeechBrain,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.9146341463414634,0.9960159362549801,0.9535918626827717,0.9116222760290557,0.0410958904109589,0.08536585365853659,0.00398406374501992
ASRmodel,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,1.0,0.1593625498007968,0.27491408934707906,0.23365617433414043,1.0,0.0,0.8406374501992032
Pyannote,4,IISc_VaaniProject_M_AP_Chittoor_Teja24647_0808020000_APCTCH_80349_18564_24857,0.6858168761220825,0.9073634204275535,0.7811860940695297,0.6608557844690967,0.16666666666666666,0.3141831238779174,0.09263657957244656
FunASR,4,IISc_VaaniProject_M_AP_Chittoor_Teja24647_0808020000_APCTCH_80349_18564_24857,0.671451355661882,1.0,0.8034351145038168,0.6719745222929936,0.004830917874396135,0.32854864433811803,0.0
Silero,4,IISc_VaaniProject_M_AP_Chittoor_Teja24647_0808020000_APCTCH_80349_18564_24857,0.6620450606585788,0.9073634204275535,0.7655310621242485,0.6285714285714286,0.06698564593301436,0.3379549393414211,0.09263657957244656
SpeechBrain,4,IISc_VaaniProject_M_AP_Chittoor_Teja24647_0808020000_APCTCH_80349_18564_24857,0.7120954003407155,0.9928741092636579,0.8293650793650794,0.7261146496815286,0.18357487922705315,0.2879045996592845,0.007125890736342043
ASRmodel,4,IISc_VaaniProject_M_AP_Chittoor_Teja24647_0808020000_APCTCH_80349_18564_24857,0.4018348623853211,0.5201900237529691,0.453416149068323,0.30799475753604194,0.04678362573099415,0.5981651376146789,0.47980997624703087
Pyannote,5,IISc_VaaniProject_M_AP_Krishna_Neha59077_0952050000_APKRLIH_303848_17814_22680,0.8919491525423728,1.0,0.9428891377379619,0.8928571428571429,0.07272727272727272,0.10805084745762712,0.0
FunASR,5,IISc_VaaniProject_M_AP_Krishna_Neha59077_0952050000_APKRLIH_303848_17814_22680,0.8698347107438017,1.0,0.9303867403314917,0.8701030927835052,0.015625,0.13016528925619836,0.0
Silero,5,IISc_VaaniProject_M_AP_Krishna_Neha59077_0952050000_APKRLIH_303848_17814_22680,0.8662551440329218,1.0,0.9283351708930541,0.86652977412731,0.015151515151515152,0.1337448559670782,0.0
SpeechBrain,5,IISc_VaaniProject_M_AP_Krishna_Neha59077_0952050000_APKRLIH_303848_17814_22680,0.892933618843683,0.9904988123515439,0.9391891891891891,0.885593220338983,0.0196078431372549,0.10706638115631692,0.009501187648456057
ASRmodel,5,IISc_VaaniProject_M_AP_Krishna_Neha59077_0952050000_APKRLIH_303848_17814_22680,1.0,0.5463182897862233,0.706605222734255,0.5953389830508474,1.0,0.0,0.45368171021377673
Pyannote,6,IISc_VaaniProject_M_AP_Krishna_Nive33357_1607560000_TGKPP_101758_7603_16893,0.4859913793103448,1.0,0.6540971718636693,0.48819742489270385,0.008316008316008316,0.5140086206896551,0.0
FunASR,6,IISc_VaaniProject_M_AP_Krishna_Nive33357_1607560000_TGKPP_101758_7603_16893,0.4870410367170626,1.0,0.6550472040668119,0.48759439050701187,0.0021008403361344537,0.5129589632829373,0.0
Silero,6,IISc_VaaniProject_M_AP_Krishna_Nive33357_1607560000_TGKPP_101758_7603_16893,0.4912854030501089,1.0,0.6588750913075238,0.49730893433799783,0.02301255230125523,0.5087145969498911,0.0
SpeechBrain,6,IISc_VaaniProject_M_AP_Krishna_Nive33357_1607560000_TGKPP_101758_7603_16893,0.5526960784313726,1.0,0.7119179163378059,0.6054054054054054,0.229957805907173,0.44730392156862747,0.0
ASRmodel,6,IISc_VaaniProject_M_AP_Krishna_Nive33357_1607560000_TGKPP_101758_7603_16893,0.5225225225225225,0.5144124168514412,0.5184357541899441,0.42379679144385024,0.28619528619528617,0.4774774774774775,0.48558758314855877
