model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Pyannote,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.9880239520958084,1.0,0.9939759036144579,0.9881656804733728,0.5,0.011976047904191617,0.0
FunASR,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.9880239520958084,1.0,0.9939759036144579,0.9880597014925373,0.2,0.011976047904191617,0.0
Silero,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.9939759036144579,1.0,0.9969788519637462,0.9940476190476191,0.6666666666666666,0.006024096385542169,0.0
SpeechBrain,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.9849246231155779,0.593939393939394,0.7410207939508506,0.591044776119403,0.4,0.01507537688442211,0.40606060606060607
Pyannote,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.7915690866510539,1.0,0.8836601307189542,0.7935034802784223,0.043010752688172046,0.20843091334894615,0.0
FunASR,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.8685567010309279,0.9970414201183432,0.928374655647383,0.8782201405152225,0.42696629213483145,0.13144329896907217,0.0029585798816568047
Silero,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.9657142857142857,1.0,0.9825581395348837,0.9719626168224299,0.8666666666666667,0.03428571428571429,0.0
SpeechBrain,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.985207100591716,0.985207100591716,0.985207100591716,0.9765807962529274,0.9438202247191011,0.014792899408284023,0.014792899408284023
Pyannote,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.9963503649635036,0.9963503649635036,0.9963503649635036,0.9927536231884058,0.5,0.0036496350364963502,0.0036496350364963502
FunASR,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.9981785063752276,1.0,0.9990884229717412,0.9981818181818182,0.5,0.0018214936247723133,0.0
Silero,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.9945553539019963,1.0,0.997270245677889,0.9945652173913043,0.25,0.0054446460980036296,0.0
SpeechBrain,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.9980769230769231,0.9470802919708029,0.9719101123595506,0.9454545454545454,0.5,0.0019230769230769232,0.05291970802919708
Pyannote,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.9951515151515151,0.9975698663426489,0.9963592233009708,0.9927623642943305,0.3333333333333333,0.0048484848484848485,0.002430133657351154
