model,file index,audio file,FEC,MSC,OVER,NDS
Pyannote,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.0,0.0,16.43835616438356,57.534246575342465
FunASR,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.0,0.5757575757575757,0.0,98.36065573770492
Silero,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.0,0.12121212121212122,0.0,42.62295081967213
SpeechBrain,0,IISc_VaaniProject_M_AP_Anantpur_00609498_0915510000_BHVSEV_338449_325_3680,0.0,40.909090909090914,0.0,81.9672131147541
Pyannote,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.0,0.0,93.51753453772582,96.70563230605738
FunASR,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.0,0.0,19.97780244173141,58.82352941176471
Silero,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.0,0.1488095238095238,5.119825708061002,16.23093681917211
SpeechBrain,1,IISc_VaaniProject_M_AP_Anantpur_18309118_1155480000_BHDM_142182_1760_6037,0.0,0.26785714285714285,0.0,3.4443168771526977
Pyannote,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.0,0.0,48.90643985419198,98.11664641555285
FunASR,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.0,0.0,48.11844540407156,99.9383096853794
Silero,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.0,0.0,48.78197320341047,99.81729598051157
SpeechBrain,2,IISc_VaaniProject_M_AP_Chittoor_Aish97358_0808540000_BHGJSWB_178760_8883_14394,0.0,7.467700258397933,48.11844540407156,99.9383096853794
Pyannote,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.0,0.0,95.88313413014609,95.88313413014609
FunASR,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.0,0.1195219123505976,95.7004160887656,99.86130374479889
Silero,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.0,0.0,95.7592339261286,99.58960328317373
SpeechBrain,3,IISc_VaaniProject_M_AP_Chittoor_Shal52248_1143070000_APVEV_115995_10352_18613,0.0,0.3851261620185923,95.7004160887656,97.0873786407767
